Offense Category,Total,White,"Black
or African
American","American
Indian or
Alaska Native",Asian,"Native
Hawaiian or
Other Pacific
Islander","Unknown
Race"
Total,"8,267,845","5,372,573","2,088,414","86,370","166,046","16,887","537,555"
Crimes Against Persons,"2,939,412","1,794,346","944,889","45,012","36,852","6,776","111,537"
Assault Offenses,"2,706,772","1,635,903","892,339","40,864","33,907","6,262","97,497"
Homicide Offenses,"16,537","6,609","9,114",227,166,22,399
Human Trafficking Offenses,"2,141","1,195",534,19,40,7,346
Kidnapping/Abduction,"36,919","23,793","10,393",683,528,120,"1,402"
Sex Offenses,"177,043","126,846","32,509","3,219","2,211",365,"11,893"
Crimes Against Property,"5,328,433","3,578,227","1,143,525","41,358","129,194","10,111","426,018"
Arson,"21,388","12,580","5,623",330,347,50,"2,458"
Bribery,571,459,60,9,8,0,35
Burglary/Breaking & Entering,"522,039","362,704","109,568","4,716","14,086",983,"29,982"
Counterfeiting/Forgery,"56,168","41,299","6,681",380,"1,431",79,"6,298"
Destruction/Damage/Vandalism ,"1,065,076","664,950","299,579","10,595","21,483","1,531","66,938"
Embezzlement,"6,537","4,686","1,116",116,179,10,430
Extortion/Blackmail,"12,413","9,491","1,373",83,447,16,"1,003"
Fraud Offenses,"696,632","495,244","110,097","3,774","17,390","1,000","69,127"
Larceny/Theft Offenses,"2,207,848","1,514,424","432,844","14,863","57,368","4,520","183,829"
Motor Vehicle Theft,"520,659","344,639","122,261","4,400","9,595","1,224","38,540"
Robbery,"136,018","79,382","43,105","1,490","5,593",528,"5,920"
Stolen Property Offenses,"83,084","48,369","11,218",602,"1,267",170,"21,458"
