age,count,offense
0-10,"81,158",Assault Offenses
0-10,562,Homicide Offenses
0-10,94,Human Trafficking Offenses
0-10,"3,930",Kidnapping/Abduction
0-10,"32,079",Sex Offenses
0-10,464,Arson
0-10,3,Bribery
0-10,"2,299",Burglary/Breaking & Entering
0-10,98,Counterfeiting/Forgery
0-10,"2,390",Destruction/Damage/Vandalism 
0-10,10,Embezzlement
0-10,22,Extortion/Blackmail
0-10,"1,186",Fraud Offenses
0-10,"4,923",Larceny/Theft Offenses
0-10,353,Motor Vehicle Theft
0-10,812,Robbery
0-10,956,Stolen Property Offenses
11-15,"143,951",Assault Offenses
11-15,338,Homicide Offenses
11-15,513,Human Trafficking Offenses
11-15,"2,266",Kidnapping/Abduction
11-15,"51,434",Sex Offenses
11-15,276,Arson
11-15,13,Bribery
11-15,"2,731",Burglary/Breaking & Entering
11-15,89,Counterfeiting/Forgery
11-15,"3,255",Destruction/Damage/Vandalism 
11-15,15,Embezzlement
11-15,670,Extortion/Blackmail
11-15,"1,436",Fraud Offenses
11-15,"15,171",Larceny/Theft Offenses
11-15,268,Motor Vehicle Theft
11-15,"3,580",Robbery
11-15,282,Stolen Property Offenses
16-20,"256,062",Assault Offenses
16-20,"2,165",Homicide Offenses
16-20,637,Human Trafficking Offenses
16-20,"4,128",Kidnapping/Abduction
16-20,"32,948",Sex Offenses
16-20,682,Arson
16-20,68,Bribery
16-20,"19,470",Burglary/Breaking & Entering
16-20,"1,451",Counterfeiting/Forgery
16-20,"52,537",Destruction/Damage/Vandalism 
16-20,125,Embezzlement
16-20,"3,236",Extortion/Blackmail
16-20,"25,093",Fraud Offenses
16-20,"114,153",Larceny/Theft Offenses
16-20,"17,466",Motor Vehicle Theft
16-20,"16,183",Robbery
16-20,"3,414",Stolen Property Offenses
16-20,"351,830",Assault Offenses
21-25,"2,443",Homicide Offenses
21-25,227,Human Trafficking Offenses
21-25,"5,306",Kidnapping/Abduction
21-25,"15,230",Sex Offenses
21-25,"1,399",Arson
21-25,83,Bribery
21-25,"48,303",Burglary/Breaking & Entering
21-25,"2,613",Counterfeiting/Forgery
21-25,"115,237",Destruction/Damage/Vandalism 
21-25,349,Embezzlement
21-25,"2,096",Extortion/Blackmail
21-25,"49,026",Fraud Offenses
21-25,"249,039",Larceny/Theft Offenses
21-25,"53,544",Motor Vehicle Theft
21-25,"20,963",Robbery
21-25,"7,367",Stolen Property Offenses
26-30,"374,771",Assault Offenses
26-30,"2,417",Homicide Offenses
26-30,145,Human Trafficking Offenses
26-30,"5,430",Kidnapping/Abduction
26-30,"11,117",Sex Offenses
26-30,"1,822",Arson
26-30,90,Bribery
26-30,"56,547",Burglary/Breaking & Entering
26-30,"3,629",Counterfeiting/Forgery
26-30,"128,312",Destruction/Damage/Vandalism 
26-30,457,Embezzlement
26-30,"1,340",Extortion/Blackmail
26-30,"57,405",Fraud Offenses
26-30,"272,370",Larceny/Theft Offenses
26-30,"67,142",Motor Vehicle Theft
26-30,"18,514",Robbery
26-30,"8,856",Stolen Property Offenses
31-35,"347,661",Assault Offenses
31-35,"2,042",Homicide Offenses
31-35,144,Human Trafficking Offenses
31-35,"4,765",Kidnapping/Abduction
31-35,"9,083",Sex Offenses
31-35,"2,171",Arson
31-35,87,Bribery
31-35,"57,358",Burglary/Breaking & Entering
31-35,"4,192",Counterfeiting/Forgery
31-35,"124,755",Destruction/Damage/Vandalism 
31-35,590,Embezzlement
31-35,"1,003",Extortion/Blackmail
31-35,"60,889",Fraud Offenses
31-35,"257,696",Larceny/Theft Offenses
31-35,"65,102",Motor Vehicle Theft
31-35,"16,214",Robbery
31-35,"8,372",Stolen Property Offenses
36-40,"292,157",Assault Offenses
36-40,"1,578",Homicide Offenses
36-40,81,Human Trafficking Offenses
36-40,"3,588",Kidnapping/Abduction
36-40,"7,118",Sex Offenses
36-40,"2,192",Arson
36-40,49,Bribery
36-40,"53,607",Burglary/Breaking & Entering
36-40,"4,424",Counterfeiting/Forgery
36-40,"114,773",Destruction/Damage/Vandalism 
36-40,680,Embezzlement
36-40,866,Extortion/Blackmail
36-40,"62,083",Fraud Offenses
36-40,"231,340",Larceny/Theft Offenses
36-40,"59,188",Motor Vehicle Theft
36-40,"13,432",Robbery
36-40,"7,776",Stolen Property Offenses
41-45,"224,222",Assault Offenses
41-45,"1,155",Homicide Offenses
41-45,34,Human Trafficking Offenses
41-45,"2,566",Kidnapping/Abduction
41-45,"5,016",Sex Offenses
41-45,"2,016",Arson
41-45,48,Bribery
41-45,"46,521",Burglary/Breaking & Entering
41-45,"4,338",Counterfeiting/Forgery
41-45,"99,933",Destruction/Damage/Vandalism 
41-45,600,Embezzlement
41-45,670,Extortion/Blackmail
41-45,"62,237",Fraud Offenses
41-45,"195,676",Larceny/Theft Offenses
41-45,"51,785",Motor Vehicle Theft
41-45,"10,666",Robbery
41-45,"6,677",Stolen Property Offenses
46-50,"175,238",Assault Offenses
46-50,944,Homicide Offenses
46-50,30,Human Trafficking Offenses
46-50,"1,689",Kidnapping/Abduction
46-50,"3,573",Sex Offenses
46-50,"1,897",Arson
46-50,25,Bribery
46-50,"42,398",Burglary/Breaking & Entering
46-50,"4,358",Counterfeiting/Forgery
46-50,"88,356",Destruction/Damage/Vandalism 
46-50,611,Embezzlement
46-50,591,Extortion/Blackmail
46-50,"62,438",Fraud Offenses
46-50,"175,193",Larceny/Theft Offenses
46-50,"46,016",Motor Vehicle Theft
46-50,"8,668",Robbery
46-50,"6,268",Stolen Property Offenses
51-55,"144,000",Assault Offenses
51-55,777,Homicide Offenses
51-55,14,Human Trafficking Offenses
51-55,"1,079",Kidnapping/Abduction
51-55,"2,588",Sex Offenses
51-55,"1,715",Arson
51-55,18,Bribery
51-55,"41,461",Burglary/Breaking & Entering
51-55,"4,720",Counterfeiting/Forgery
51-55,"81,557",Destruction/Damage/Vandalism 
51-55,619,Embezzlement
51-55,490,Extortion/Blackmail
51-55,"62,157",Fraud Offenses
51-55,"163,137",Larceny/Theft Offenses
51-55,"41,715",Motor Vehicle Theft
51-55,"7,911",Robbery
51-55,"5,607",Stolen Property Offenses
56-60,"120,080",Assault Offenses
56-60,634,Homicide Offenses
56-60,20,Human Trafficking Offenses
56-60,778,Kidnapping/Abduction
