White	Black_or_African_American	Hispanic	Asian	Pacific Islander	Unknown	Max_race_category
5372573	2088414	86370	166046	16887	537555	White
1635903	892339	40864	33907	6262	97497	White
6609	9114	227	166	22	399	Black_or_African_American
1195	534	19	40	7	346	White
23793	10393	683	528	120	1402	White
126846	32509	3219	2211	365	11893	White
12580	5623	330	347	50	2458	White
459	60	9	8	0	35	White
362704	109568	4716	14086	983	29982	White
41299	6681	380	1431	79	6298	White
664950	299579	10595	21483	1531	66938	White
4686	1116	116	179	10	430	White
9491	1373	83	447	16	1003	White
495244	110097	3774	17390	1000	69127	White
1514424	432844	14863	57368	4520	183829	White
344639	122261	4400	9595	1224	38540	White
79382	43105	1490	5593	528	5920	White
48369	11218	602	1267	170	21458	White
