State,Year,Population,Property_Crime_Rate,Property_Burglary_Rate,Property_Larceny_Rate,Property_Motor_Rate,Violent_Crime_Rate,Violent_Assault_Rate,Violent_Murder_Rate,Violent_Rape_Rate,Violent_Robbery_Rate
Alabama,1960,3266740,1035.4,355.9,592.1,87.3,186.6,138.1,12.4,8.6,27.5
Alabama,1961,3302000,985.5,339.3,569.4,76.8,168.5,128.9,12.9,7.6,19.1
Alabama,1962,3358000,1067,349.1,634.5,83.4,157.3,119,9.4,6.5,22.5
Alabama,1963,3347000,1150.9,376.9,683.4,90.6,182.7,142.1,10.2,5.7,24.7
Alabama,1964,3407000,1358.7,466.6,784.1,108,213.1,163,9.3,11.7,29.1
Alabama,1965,3462000,1392.7,473.7,812.1,106.9,199.8,149.1,11.4,10.6,28.7
Alabama,1966,3517000,1528,527.5,869.6,131,230.3,177.7,10.9,9.7,32
Alabama,1967,3540000,1612.4,571.4,895,146,238.6,183.5,11.7,10.5,33
Alabama,1968,3566000,1766.6,628.2,967.7,170.7,232.4,168.5,11.8,11.1,41
Alabama,1969,3531000,1876.2,667.2,1037.8,171.2,250.4,181.7,13.7,14,41
Alabama,1970,3444165,2183.8,776.4,1184,223.5,295.7,215.2,11.7,18.5,50.3
Alabama,1971,3479000,2187,791.8,1173.9,221.2,311.4,219.7,15.1,19,57.6
Alabama,1972,3510000,2081.3,789.6,1096.7,195,313.2,211.7,14.1,18.8,68.6
Alabama,1973,3539000,2232.2,897.3,1107.8,227.2,350.1,236.3,13.2,21.2,79.4
Alabama,1974,3577000,2627.2,1057.9,1308.7,260.6,372.9,235.6,15,22.7,99.6
Alabama,1975,3614000,3079.6,1163.8,1645.5,270.3,392.9,233.5,16,20.4,123
Alabama,1976,3665000,3419.5,1170,1987.2,262.3,388.8,256,15.1,21.7,96
Alabama,1977,3690000,3298.2,1135.5,1881.9,280.7,414.4,278.3,14.2,25.2,96.8
Alabama,1978,3742000,3519.7,1229.3,1987.9,302.5,419.1,281.2,13.3,25.5,99.1
Alabama,1979,3769000,3830.5,1287.3,2223.2,320.1,413.3,263.1,13.2,27.5,109.5
Alabama,1980,3861466,4485.1,1526.7,2642.2,316.2,448.5,273.2,13.2,30,132.1
Alabama,1981,3916000,4428.3,1450.7,2693.3,284.2,470.5,306.1,11.9,26.1,126.5
Alabama,1982,3943000,4185.8,1256.2,2656.4,273.3,447.7,299.1,10.6,26,112
Alabama,1983,3959000,3685,1073.1,2381.4,230.5,416,284.9,9.2,23.5,98.4
Alabama,1984,3990000,3470.9,1001.8,2235.5,233.6,431.2,300.6,9.4,25.1,96.1
Alabama,1985,4021000,3484.6,1034.9,2191.2,258.5,457.5,315.5,9.8,26.8,105.4
Alabama,1986,4053000,3730.3,1159,2304.4,267,558,407.9,10.1,28.4,111.6
Alabama,1987,4083000,3892.2,1198.3,2431.1,262.8,559.2,409.9,9.3,27.8,112.2
Alabama,1988,4127000,4003.1,1233.8,2502.6,266.7,558.6,401.2,9.9,29.8,117.8
Alabama,1989,4118000,4037,1146.8,2592.8,297.5,590.8,415.7,10.2,31,133.9
Alabama,1990,4040587,4206.7,1103.4,2755.4,347.8,708.6,520.7,11.6,32.6,143.7
Alabama,1991,4089000,4521.4,1268.6,2889.5,363.4,844.2,644.4,11.5,35.6,152.8
Alabama,1992,4136000,4396.4,1186,2848.2,362.3,871.7,654.6,11,41.2,164.9
Alabama,1993,4187000,4098.4,1088.6,2672,337.8,780.4,574.3,11.6,35.1,159.5
Alabama,1994,4219000,4219.4,1044.4,2843.1,331.8,683.7,465.3,11.9,35.2,171.2
Alabama,1995,4253000,4215.7,1024.8,2844.3,346.6,632.4,403.7,11.2,31.7,185.8
Alabama,1996,4273000,4254.7,1002.1,2886.7,366,565.4,356,10,33,167
Alabama,1997,4319000,4325.3,1013.8,2954.8,356.7,564.5,361.8,9.9,32.3,160.5
Alabama,1998,4352000,4085,964.3,2779,341.7,512.1,339.9,8.1,33.2,130.9
Alabama,1999,4369862,3922.3,884.4,2737.3,300.6,490.2,326.5,7.9,34.6,121.2
Alabama,2000,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2
Alabama,2001,4468912,3876.8,909.4,2685,282.4,438.2,274.1,8.5,30.6,125
Alabama,2002,4478896,4027.8,950.6,2767,310.1,445,268,6.8,37.2,133.1
Alabama,2003,4503726,4046.4,960.2,2754.1,332.1,429.2,251.7,6.6,36.8,134.1
Alabama,2004,4525375,4029.3,987,2732.4,309.9,427,249.4,5.6,38.5,133.5
Alabama,2005,4548327,3900,955.8,2656,289,433,248.3,8.2,34.4,141.7
Alabama,2006,4599030,3941,973.7,2640.8,326.5,425.2,227.5,8.3,35.8,153.6
Alabama,2007,4627851,3977.7,980.6,2689.5,307.7,448.9,246.7,8.9,33.4,159.9
Alabama,2008,4661900,4084.5,1081.3,2714.3,288.9,452.8,253,7.5,34.7,157.6
Alabama,2009,4708708,3780.4,1037.3,2507.5,235.5,450.1,278.3,6.8,31.9,133.1
Alabama,2010,4785401,3528,887.8,2414.9,225.3,383.7,248,5.7,28.3,101.6
Alabama,2011,4803689,3605.4,1064.2,2319.3,222,419.8,282.9,6.2,28.5,102.1
Alabama,2012,4822023,3502.2,984.7,2312.8,204.8,449.9,311.8,7.1,26.9,104.1
Alabama,2013,4833722,3351.3,877.8,2254.8,218.7,430.8,285.2,7.2,42.3,96.2
Alabama,2014,4849377,3177.6,819,2149.5,209.1,427.4,283.4,5.7,41.3,96.9
Alabama,2015,4858979,2978.9,725.6,2040.7,212.7,472.4,328.3,7.2,42,94.9
Alabama,2016,4863300,2947.8,700.5,2006.3,241.1,532.3,388.2,8.4,39.4,96.4
Alabama,2017,4874747,2957.3,645.7,2048.1,263.4,524.2,387.8,8.3,41.6,86.5
Alabama,2018,4887871,2817.2,590.1,1958.9,268.3,519.6,387.6,7.8,40.8,83.4
Alabama,2019,4903185,2674.4,531.9,1886.1,256.5,510.8,381,7.3,42.2,80.4
Alaska,1960,226167,1544.9,332.1,970.5,242.3,104.3,45.1,10.2,20.8,28.3
Alaska,1961,234000,1540.6,380.8,950,209.8,88.9,51.7,11.5,13.2,12.4
Alaska,1962,246000,1564.6,351.6,985.4,227.6,91.5,54.5,4.5,18.7,13.8
Alaska,1963,248000,1952.8,381.5,1213.7,357.7,109.7,66.1,6.5,14.9,22.2
Alaska,1964,250000,2016,443.6,1218.4,354,150,96,10.4,22.4,21.2
Alaska,1965,253000,2454.5,554.5,1492.9,407.1,149,85,6.3,17.8,39.9
Alaska,1966,272000,2635.3,593,1600.7,441.5,150.4,82,12.9,19.5,36
Alaska,1967,272000,2723.9,688.6,1630.9,404.4,160.7,98.2,9.6,17.6,35.3
Alaska,1968,277000,3145.5,747.3,1915.9,482.3,175.5,90.6,10.5,21.7,52.7
Alaska,1969,282000,3658.9,870.6,2196.8,591.5,221.3,113.8,10.6,29.4,67.4
Alaska,1970,302173,3523.8,789.9,2182.5,551.3,278,167.8,12.2,26.1,71.8
Alaska,1971,313000,3809.3,848.6,2438,522.7,355.3,231.3,13.4,43.5,67.1
Alaska,1972,325000,4108,970.8,2639.1,498.2,370.5,252.6,9.5,41.8,66.5
Alaska,1973,330000,4558.8,1167.3,2865.5,526.1,384.5,263,10,44.5,67
Alaska,1974,337000,4786.6,1166.8,2972.1,647.8,453.1,301.8,13.6,49.3,88.4
Alaska,1975,352000,5656.8,1214.5,3522.4,919.9,539.8,353.4,12.2,44.6,129.5
Alaska,1976,382000,5680.6,1218.1,3656.8,805.8,540.1,357.1,11.3,46.9,124.9
Alaska,1977,407000,5454.8,1331.7,3369.8,753.3,443.2,284,10.8,51.6,96.8
Alaska,1978,403000,5604.2,1339.2,3603.5,661.5,441.9,282.1,12.9,55.6,91.3
Alaska,1979,406000,5712.6,1383.3,3713.3,616,491.1,296.3,13.3,71.9,109.6
Alaska,1980,440142,5209.7,1259.8,3388.9,561,436,288.5,8.9,56.8,81.8
Alaska,1981,412000,5979.1,1329.9,3958.7,690.5,615.8,384.5,14.6,102.2,114.6
Alaska,1982,438000,5588.8,1188.1,3806.4,594.3,623.7,386.1,18.5,85.4,133.8
Alaska,1983,479000,5404.8,1194.2,3566.8,643.8,613.8,401.5,13.8,101.5,97.1
Alaska,1984,500000,5493.6,1236.8,3628,628.8,621.6,409,11.6,91.6,109.4
Alaska,1985,521000,5295.2,1191.7,3497.1,606.3,581.8,401.9,9.8,77.2,92.9
Alaska,1986,534000,5675.5,1161.8,3909.9,603.7,570.4,401.1,8.6,72.7,88
Alaska,1987,525000,4922.1,970.1,3465.7,486.3,455.4,307.2,10.1,65,73.1
Alaska,1988,513000,4398.8,842.3,3101.6,455,522.8,386.5,5.7,57.7,72.9
Alaska,1989,527000,4282.2,826.9,3000.2,455,497.7,369.3,8,52.9,67.6
Alaska,1990,550043,4628.2,894.3,3168.5,565.4,524.5,367.4,7.5,72.9,76.7
Alaska,1991,570000,5087.7,979.3,3574.6,533.9,613.9,401.6,7.4,91.8,113.2
Alaska,1992,587000,4909,880.7,3531.2,497.1,660.5,445.3,7.5,98.6,109
Alaska,1993,599000,4807.2,816.9,3539.4,450.9,760.8,545.6,9,83.8,122.4
Alaska,1994,606000,4941.7,800,3601.3,540.4,766.3,544.9,6.3,69,146.2
Alaska,1995,604000,4982.9,836.9,3624.3,521.7,770.9,526.3,9.1,80.3,155.1
Alaska,1996,607000,4722.7,843.2,3386.7,492.9,727.7,537.7,7.4,65.6,117
Alaska,1997,609000,4571.4,702.1,3412.2,457.1,701.1,519.7,8.9,66.2,106.4
Alaska,1998,614000,4123.1,667.4,3031.1,424.6,653.9,492,6.7,68.6,86.6
Alaska,1999,619500,3728.7,611.3,2688.3,429.1,630.8,447.6,8.4,83.5,91.4
Alaska,2000,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2
Alaska,2001,633630,3655.1,607.1,2634.8,413.2,589.5,423.1,6.2,79.1,81.1
Alaska,2002,641482,3759.7,609.2,2765.3,385.2,565.4,404.4,5.1,79.7,76.2
Alaska,2003,648280,3761.6,597.6,2784.4,379.6,598,429.9,6,93.3,68.8
Alaska,2004,657755,3370.9,573.6,2456.7,340.6,632.3,473.9,5.6,84.8,68
Alaska,2005,663253,3615,622.8,2601,391,632,465.4,4.8,81.1,81
Alaska,2006,670053,3578.1,620.1,2579.5,378.5,688,516.7,5.4,76.4,89.5
Alaska,2007,683478,3379.2,546.3,2476.9,356,661.3,490.3,6.3,79.7,85
Alaska,2008,686293,2927.3,471.7,2218.4,237.2,652.1,489,3.9,65.1,94
Alaska,2009,698473,2940.4,515.4,2183.5,241.5,633.4,463.2,3.1,73.4,93.6
Alaska,2010,714146,2836.8,434.8,2175.3,226.7,635.3,473.2,4.3,74.6,83.2
Alaska,2011,723860,2637.8,394,2052.1,191.7,610.1,466.1,4.1,60.2,79.6
Alaska,2012,731449,2739.4,403.3,2128,208.1,603.2,433.2,4.1,79.7,86.1
Alaska,2013,735132,2885.2,396.7,2258,230.6,640.4,425.5,4.6,125.4,84.9
Alaska,2014,736732,2760,427.6,2096.4,236,635.8,440.2,5.6,104.7,85.4
Alaska,2015,738432,2817.6,475.5,2065.1,277.1,730.2,497.1,8,122,103.1
Alaska,2016,741894,3353,546.3,2394.7,412.1,804.2,540.6,7,141.9,114.6
Alaska,2017,739795,3542.1,563.8,2402.7,575.6,829,575.4,8.4,116.7,128.5
Alaska,2018,737438,3300.5,539.6,2219,541.9,885,595.4,6.4,161.6,121.5
Alaska,2019,731545,2910.8,487.1,2066,357.7,867.1,596,9.4,148.7,112.9
Arizona,1960,1302161,2806,685.5,1782.2,338.4,207.7,131.4,6,16.1,54.2
Arizona,1961,1391000,2969.4,737.7,1876.3,355.4,164.5,87.6,6,14.4,56.5
Arizona,1962,1509000,3028.1,774.9,1895.6,357.6,173,97.7,5.7,13.1,56.4
Arizona,1963,1559000,3200.4,830.3,2002.1,368,194.2,116.4,6,14.2,57.5
Arizona,1964,1581000,3432.3,868.2,2225.8,338.3,213,130.2,5.2,16.4,61.2
Arizona,1965,1608000,3355.5,816.5,2251.7,287.3,192.3,113.9,5,17.8,55.7
Arizona,1966,1618000,3933.6,931.1,2630.1,372.3,202.2,122.4,6.1,18.3,55.5
Arizona,1967,1634000,4599.8,1137.3,3055.3,407.2,238.2,141,5.6,16.7,74.9
Arizona,1968,1670000,4610.8,1167.4,3022.2,421.2,263.6,151.9,6.3,18.7,86.7
Arizona,1969,1693000,4885.4,1302.6,3144.2,438.6,339.2,210.2,6,23,99.9
Arizona,1970,1772482,5543.9,1493,3549.7,501.2,370.3,213.7,9.5,27,120.2
Arizona,1971,1849000,5540.9,1435.9,3654.2,450.8,400.6,250.7,6.7,29.9,113.3
