"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @EpochTimes: “Before our very eyes, Biden and his left-wing handlers are turning America into a police state,” says Trump.

Former Presi…",FALSE,0,NA,2022-10-10 22:57:22,FALSE,NA,"1579607049348186112",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","QRTnurse",25,TRUE,FALSE,NA,NA
"2","RT @jimmichael720: #EpsteinClientList 

When is #FBI going to Raid their Homes? https://t.co/1vk0Jcx6lE",FALSE,0,NA,2022-10-10 22:57:02,FALSE,NA,"1579606963293663233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mara64672767",5,TRUE,FALSE,NA,NA
"3","@kylenabecker Hmm-Makes u wonder if anything Kyle tweets is actually #true? 

“Becker…writes a steady stream of vir… https://t.co/8DK3fooxyY",FALSE,0,"kylenabecker",2022-10-10 22:53:40,TRUE,"1579583192025423872","1579606116572725248","321954654","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrshred",0,FALSE,FALSE,NA,NA
"4","RT @CarrollTrusts: #TheItalianJob #MichaelCaine CARROLL SUPERCARS MUSEUM TRUST - #HSBCBANK #LLOYDSBANK #NATWESTBANK #RBS #COUTTSBANK #BARCL…",FALSE,0,NA,2022-10-10 22:53:22,FALSE,NA,"1579606039917658112",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SocialHousingCo",5,TRUE,FALSE,NA,NA
"5","RT @WildRosePress: Can the hard-as-nails Fed forgive the one woman who stole his heart, then cast him aside? Shattered Promises #RockLedge…",FALSE,0,NA,2022-10-10 22:53:00,FALSE,NA,"1579605947030581248",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CatDubie",36,TRUE,FALSE,NA,NA
"6","RT @FBIBoston: #OTD 41 years ago, Andrew Peter Dabbs allegedly murdered his girlfriend, Robin Shea. He is wanted by #FBI Boston, @NortonMaP…",FALSE,0,NA,2022-10-10 22:50:44,FALSE,NA,"1579605378601746433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PaulPasquariell",8,TRUE,FALSE,NA,NA
"7","RT @EpochTVus: A Tennessee #ProLife activist said #FBI agents came to his home with guns pointed at him and arrested him for blocking an #A…",FALSE,0,NA,2022-10-10 22:49:53,FALSE,NA,"1579605163316482048",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RhondaH44764137",11,TRUE,FALSE,NA,NA
"8","I had celebratory dinner last night with a 102 yr old Holocaust Survivor. Just because I don't agree with my own or… https://t.co/UCOhdOn8vx",FALSE,0,NA,2022-10-10 22:46:04,TRUE,NA,"1579604202141421569",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","debbie77777777",0,FALSE,FALSE,NA,NA
"9","(Fox News):#Georgia, #FBI searching for missing toddler whose babysitter reports 'odd' text before disappearance :… https://t.co/71VHvT51sm",FALSE,0,NA,2022-10-10 22:45:29,TRUE,NA,"1579604055407546368",NA,"<a href=""http://www.newsoneplace.com"" rel=""nofollow"">Newsoneplace To Twitter</a>","newsoneplace",0,FALSE,FALSE,NA,NA
"10","RT @EpochTVus: A Tennessee #ProLife activist said #FBI agents came to his home with guns pointed at him and arrested him for blocking an #A…",FALSE,0,NA,2022-10-10 22:45:04,FALSE,NA,"1579603954065100801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sunshineteal1",11,TRUE,FALSE,NA,NA
"11","RT @60PlusAssoc: The #FBI has raised the flag on the rise in elder fraud scams in recent years.  According to their 2021 Internet Crime Com…",FALSE,0,NA,2022-10-10 22:44:52,FALSE,NA,"1579603901162352640",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JimMartin60Plus",2,TRUE,FALSE,NA,NA
"12","RT @60PlusAssoc: The #FBI has raised the flag on the rise in elder fraud scams in recent years.  According to their 2021 Internet Crime Com…",FALSE,0,NA,2022-10-10 22:44:40,FALSE,NA,"1579603851811790848",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sanuzis",2,TRUE,FALSE,NA,NA
"13","The #FBI has raised the flag on the rise in elder fraud scams in recent years.  According to their 2021 Internet Cr… https://t.co/TFvzCuVz6Q",FALSE,0,NA,2022-10-10 22:44:25,TRUE,NA,"1579603787417026560",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","60PlusAssoc",2,FALSE,FALSE,NA,NA
"14","BTW I wasn't servicing the CPF at all during my time of labor &amp; service to the #FBI &amp; #CIA all those years so do no… https://t.co/Fw9c0P0Xb6",FALSE,0,NA,2022-10-10 22:44:07,TRUE,NA,"1579603711130992641",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","debbie77777777",0,FALSE,FALSE,NA,NA
"15","RT @EpochTVus: A Tennessee #ProLife activist said #FBI agents came to his home with guns pointed at him and arrested him for blocking an #A…",FALSE,0,NA,2022-10-10 22:43:17,FALSE,NA,"1579603505177714688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","angelicaguirele",11,TRUE,FALSE,NA,NA
"16","@kylenabecker #PaidProfessionalLiar says wut?

“Becker…writes a steady stream of viral, often #misleading tweets on… https://t.co/J3jOm8N4F8",FALSE,0,"kylenabecker",2022-10-10 22:40:55,TRUE,"1579531184044150790","1579602907967938561","321954654","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrshred",0,FALSE,FALSE,NA,NA
"17","RT @retiredtrnman: The #FBI has identified many people who incited violence at the U.S. Capitol on January 6, but it still needs your help…",FALSE,0,NA,2022-10-10 22:40:26,FALSE,NA,"1579602784525381633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NoDumbAssDrump",32,TRUE,FALSE,NA,NA
"18","RT @FBIPittsburgh: #FBI agents say more and more cases cross their desks each year involving young people who are manipulated, threatened,…",FALSE,0,NA,2022-10-10 22:38:52,FALSE,NA,"1579602392529920001",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","813fightem",3,TRUE,FALSE,NA,NA
"19","RT @EpochTVus: A Tennessee #ProLife activist said #FBI agents came to his home with guns pointed at him and arrested him for blocking an #A…",FALSE,0,NA,2022-10-10 22:38:44,FALSE,NA,"1579602357490692097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","treadwell3591",11,TRUE,FALSE,NA,NA
"20","RT @notthebunny1: Remember every1 she is saying this and is still having her account and the #FBI is saying they will NOT investigate her..…",FALSE,0,NA,2022-10-10 22:37:58,FALSE,NA,"1579602165139902465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BarbBarbedWire",1,TRUE,FALSE,NA,NA
"21","RT @EpochTVus: Heavily armed #FBI agents arrest pro-lifer; And, a new report says #Democrats are running a network of quasi-news #websites…",FALSE,0,NA,2022-10-10 22:37:43,FALSE,NA,"1579602103500431360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LandmarkCarol",14,TRUE,FALSE,NA,NA
"22","RT @FBI: If you're a student, visit https://t.co/bGeCMXYu66 to learn more about the #FBI: who we are, what we do—and how you can be a part…",FALSE,0,NA,2022-10-10 22:36:40,FALSE,NA,"1579601838407843840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jdh_harms",33,TRUE,FALSE,NA,NA
"23","RT @EpochTVus: A Tennessee #ProLife activist said #FBI agents came to his home with guns pointed at him and arrested him for blocking an #A…",FALSE,0,NA,2022-10-10 22:35:45,FALSE,NA,"1579601609541447682",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mnrube17",11,TRUE,FALSE,NA,NA
"24","RT @EpochTVus: A Tennessee #ProLife activist said #FBI agents came to his home with guns pointed at him and arrested him for blocking an #A…",FALSE,0,NA,2022-10-10 22:35:15,FALSE,NA,"1579601480696598528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JonaR029",11,TRUE,FALSE,NA,NA
"25","RT @EpochTVus: A Tennessee #ProLife activist said #FBI agents came to his home with guns pointed at him and arrested him for blocking an #A…",FALSE,0,NA,2022-10-10 22:35:00,FALSE,NA,"1579601418213765120",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","EpochTimes",11,TRUE,FALSE,NA,NA
"26","RT @FBI: This National #HispanicHeritageMonth, the #FBI salutes our Hispanic-American colleagues. Your dedication enhances our vision, your…",FALSE,0,NA,2022-10-10 22:34:49,FALSE,NA,"1579601371191717890",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jdh_harms",41,TRUE,FALSE,NA,NA
"27","RT @WildRosePress: Can the hard-as-nails Fed forgive the one woman who stole his heart, then cast him aside? Shattered Promises #RockLedge…",FALSE,0,NA,2022-10-10 22:34:33,FALSE,NA,"1579601304724570113",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hilbre_s",36,TRUE,FALSE,NA,NA
"28","RT @EpochTVus: Heavily armed #FBI agents arrest pro-lifer; And, a new report says #Democrats are running a network of quasi-news #websites…",FALSE,0,NA,2022-10-10 22:34:28,FALSE,NA,"1579601283895668736",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DanaZim78734497",14,TRUE,FALSE,NA,NA
"29","Over 40 #FBI agents are on the ground in Savannah, #Georgia, to help search for a toddler Quinton Simon who mysteri… https://t.co/4VNbFHpUd9",FALSE,0,NA,2022-10-10 22:33:34,TRUE,NA,"1579601056887353344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LadyRoseAphynah",0,FALSE,FALSE,NA,NA
"30","RT @SharronMcKenna5: Abolish the #FBI https://t.co/8DufLwziCo",FALSE,0,NA,2022-10-10 22:32:37,FALSE,NA,"1579600819368103938",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheWacoKid8",1,TRUE,FALSE,NA,NA
"31","RT @ActionTime: Please #Retweet Because Trump Hates This 100%:It's The Worst #Trump's Face as He Found Out #FBI Seized 11 Sets of Documents…",FALSE,0,NA,2022-10-10 22:31:55,FALSE,NA,"1579600642561441793",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","evlkarl",219,TRUE,FALSE,NA,NA
"32","RT @EpochTimes: “Before our very eyes, Biden and his left-wing handlers are turning America into a police state,” says Trump.

Former Presi…",FALSE,0,NA,2022-10-10 22:31:12,FALSE,NA,"1579600462940340224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kennybeck104",25,TRUE,FALSE,NA,NA
